"iso3c","date","country","region","income_level","goal","ind_quality"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.047
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.062
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0.167
"ABW",2020,"Aruba","Latin America & Caribbean","High income","10",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","16",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0.2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.429
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.484
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.273
"AFG",2020,"Afghanistan","South Asia","Low income","1",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","10",0
"AFG",2020,"Afghanistan","South Asia","Low income","16",0.25
"AFG",2020,"Afghanistan","South Asia","Low income","2",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","3",1
"AFG",2020,"Afghanistan","South Asia","Low income","4",0.333
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.538
"AFG",2020,"Afghanistan","South Asia","Low income","8",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.405
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",0.452
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0.273
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0.333
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","10",1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","16",0.25
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","2",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",0.75
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0.333
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.385
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0.333
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.619
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",0.613
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.636
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0.333
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","10",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","16",0.25
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","2",0.5
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","3",1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","4",0.667
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","5",0.692
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","8",0.667
"AND",2020,"Andorra","Europe & Central Asia","High income","Combined",0.116
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 1",0.156
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 2",0
"AND",2020,"Andorra","Europe & Central Asia","High income","1",0
"AND",2020,"Andorra","Europe & Central Asia","High income","10",0
"AND",2020,"Andorra","Europe & Central Asia","High income","16",0.25
"AND",2020,"Andorra","Europe & Central Asia","High income","2",0
"AND",2020,"Andorra","Europe & Central Asia","High income","3",0.4
"AND",2020,"Andorra","Europe & Central Asia","High income","4",0.167
"AND",2020,"Andorra","Europe & Central Asia","High income","5",0.077
"AND",2020,"Andorra","Europe & Central Asia","High income","8",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Combined",0.31
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 1",0.387
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 2",0.091
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","1",0.333
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","10",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","16",0.25
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","2",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","3",0.5
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","4",0.5
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","5",0.308
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","8",0.167
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Combined",0.548
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 1",0.645
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 2",0.273
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","1",0.5
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","10",1
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","16",0.5
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","2",0.5
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","3",0.75
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","4",0.667
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","5",0.308
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","8",0.833
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Combined",0.69
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 1",0.71
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 2",0.636
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","1",0.833
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","10",1
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","16",0.5
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","2",0.5
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","3",1
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","4",0.5
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","5",0.615
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","8",0.833
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Combined",0.047
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 1",0.062
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 2",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","1",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","10",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","16",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","2",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","3",0.2
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","4",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","5",0.077
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","8",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Combined",0.143
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 1",0.161
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 2",0.091
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","1",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","10",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","16",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","2",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","3",0.5
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","4",0.333
