"iso3c","date","country","region","income_level","goal","ind_quality"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.08
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.111
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0.062
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","10",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","11",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","16",0.1
"ABW",2020,"Aruba","Latin America & Caribbean","High income","2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0.2
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0.667
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.4
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.667
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.25
"AFG",2020,"Afghanistan","South Asia","Low income","1",0.375
"AFG",2020,"Afghanistan","South Asia","Low income","10",0
"AFG",2020,"Afghanistan","South Asia","Low income","11",0
"AFG",2020,"Afghanistan","South Asia","Low income","16",0.2
"AFG",2020,"Afghanistan","South Asia","Low income","2",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","3",1
"AFG",2020,"Afghanistan","South Asia","Low income","4",0.667
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.5
"AFG",2020,"Afghanistan","South Asia","Low income","8",0.286
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.34
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",0.667
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0.156
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","10",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","11",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","16",0.1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","2",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0.667
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.4
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0.286
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.48
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",0.722
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.344
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0.375
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","10",0
