"Goal","Indicator","Tier","Description","Sub-Indicators","Sex Disaggregation Available - East Asia & Pacific","Any Data Available - East Asia & Pacific","Sex Disaggregation Available - Europe & Central Asia","Any Data Available - Europe & Central Asia","Sex Disaggregation Available - Latin America & Caribbean","Any Data Available - Latin America & Caribbean","Sex Disaggregation Available - Middle East & North Africa","Any Data Available - Middle East & North Africa","Sex Disaggregation Available - North America","Any Data Available - North America","Sex Disaggregation Available - South Asia","Any Data Available - South Asia","Sex Disaggregation Available - Sub-Saharan Africa","Any Data Available - Sub-Saharan Africa","Sex Disaggregation Available - Low income","Any Data Available - Low income","Sex Disaggregation Available - Lower middle income","Any Data Available - Lower middle income","Sex Disaggregation Available - Upper middle income","Any Data Available - Upper middle income","Sex Disaggregation Available - High income","Any Data Available - High income","Sex Disaggregation Available - Hgh Income & Pop <= 500K","Any Data Available - Hgh Income & Pop <= 500K","Sex Disaggregation Available - Hgh Income & Pop >= 500K","Any Data Available - Hgh Income & Pop >= 500K","Sex Disaggregation Available - Global","Any Data Available - Global"
"3","3.3.1","1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",55.60000000000001,63,66.7,87.5,85.7,85.7,52.400000000000006,57.099999999999994,50,100,50,62.5,93.60000000000001,93.60000000000001,82.1,82.1,84.6,86.5,77.3,79.5,53.6,76.8,44.4,44.4,54,80,72.39999999999999,80.7
"3","3.7.1","1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)",NA,44.4,NA,29.2,NA,53.6,NA,28.599999999999998,NA,50,NA,87.5,NA,74.5,NA,82.1,NA,71.2,NA,63.6,NA,3.5999999999999996,NA,0,NA,4,NA,49.7
"3","3.7.2","1","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",NA,85.2,NA,100,NA,85.7,NA,71.39999999999999,NA,100,NA,100,NA,83,NA,78.60000000000001,NA,82.69999999999999,NA,93.2,NA,92.9,NA,77.8,NA,96,NA,87.8
"4","4.1.1","1","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)",55.60000000000001,59.3,91.7,91.7,67.9,67.9,71.39999999999999,71.39999999999999,100,100,12.5,12.5,36.199999999999996,36.199999999999996,32.1,32.1,46.2,46.2,68.2,68.2,89.3,91.10000000000001,55.60000000000001,55.60000000000001,96,98,62.4,63
"4","4.2.1","2","Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex","Proportion of children aged 36−59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months)",22.2,25.900000000000002,18.8,18.8,35.699999999999996,35.699999999999996,23.799999999999997,23.799999999999997,0,0,37.5,37.5,48.9,48.9,53.6,53.6,40.400000000000006,42.3,45.5,45.5,0,0,0,0,0,0,30.9,31.5
"4","4.2.2","1","Participation rate in organized learning (one year before the official primary entry age), by sex","Participation rate in organized learning (one year before the official primary entry age), by sex (%)",77.8,85.2,93.8,93.8,78.60000000000001,78.60000000000001,76.2,76.2,100,100,62.5,62.5,72.3,74.5,67.9,71.39999999999999,75,75,79.5,79.5,91.10000000000001,94.6,77.8,77.8,94,98,80.10000000000001,81.8
"4","4.3.1","2","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","Participation rate in formal and non-formal education and training, by sex (%)",55.60000000000001,59.3,83.3,83.3,78.60000000000001,78.60000000000001,42.9,42.9,100,100,100,100,63.800000000000004,63.800000000000004,57.099999999999994,57.099999999999994,69.19999999999999,69.19999999999999,72.7,72.7,73.2,75,66.7,66.7,74,76,69.6,70.19999999999999
"4","4.5.1","2","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio); /n Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio); /n Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio); /n Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio); /n Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio); /n Adjusted gender parity index for completion rate, by location, wealth quintile and education level; /n Adjusted gender parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",NA,92.60000000000001,NA,100,NA,100,NA,95.19999999999999,NA,100,NA,100,NA,100,NA,96.39999999999999,NA,100,NA,97.7,NA,98.2,NA,88.9,NA,100,NA,98.3
"4","4.6.1","2","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",3.6999999999999997,7.3999999999999995,12.5,12.5,14.299999999999999,17.9,4.8,4.8,50,50,0,0,2.1,2.1,0,0,0,0,13.600000000000001,13.600000000000001,14.299999999999999,17.9,0,0,16,20,7.7,8.799999999999999
"5","5.1.1","2","Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex","Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family; /n Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits; /n Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life; /n Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",NA,33.300000000000004,NA,79.2,NA,71.39999999999999,NA,38.1,NA,0,NA,50,NA,34,NA,25,NA,40.400000000000006,NA,63.6,NA,69.6,NA,44.4,NA,74,NA,52.5
"5","5.2.1","1","Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age","Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",NA,77.8,NA,91.7,NA,89.3,NA,38.1,NA,100,NA,100,NA,85.1,NA,75,NA,88.5,NA,86.4,NA,75,NA,33.300000000000004,NA,82,NA,81.8
"5","5.2.2","2","Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence","NA",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"5","5.3.1","1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%); /n Proportion of women aged 20-24 years who were married or in a union before age 15 (%)",NA,44.4,NA,31.2,NA,53.6,NA,38.1,NA,0,NA,75,NA,66,NA,71.39999999999999,NA,69.19999999999999,NA,65.9,NA,3.5999999999999996,NA,0,NA,4,NA,48.1
"5","5.3.2","1","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",NA,0,NA,0,NA,0,NA,9.5,NA,0,NA,12.5,NA,36.199999999999996,NA,46.400000000000006,NA,9.6,NA,4.5,NA,0,NA,0,NA,0,NA,11
"5","5.4.1","2","Proportion of time spent on unpaid domestic and care work, by sex, age and location","Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)",25.900000000000002,25.900000000000002,18.8,20.8,35.699999999999996,35.699999999999996,4.8,4.8,100,100,12.5,12.5,2.1,2.1,3.5999999999999996,3.5999999999999996,11.5,11.5,36.4,36.4,14.299999999999999,16.1,0,0,16,18,17.1,17.7
"5","5.5.1","1","Proportion of seats held by women in (a) national parliaments and (b) local governments","Proportion of seats held by women in national parliaments (% of total number of seats); /n Proportion of elected seats held by women in deliberative bodies of local government (%)",NA,92.60000000000001,NA,100,NA,96.39999999999999,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100,NA,94.6,NA,88.9,NA,96,NA,98.3
"5","5.5.2","1","Proportion of women in managerial positions","Proportion of women in senior and middle management positions (%)",NA,55.60000000000001,NA,83.3,NA,64.3,NA,33.300000000000004,NA,50,NA,100,NA,55.300000000000004,NA,50,NA,61.5,NA,65.9,NA,71.39999999999999,NA,44.4,NA,74,NA,63.5
"5","5.6.1","2","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",NA,18.5,NA,16.7,NA,10.7,NA,4.8,NA,0,NA,50,NA,40.400000000000006,NA,42.9,NA,30.8,NA,27.3,NA,0,NA,0,NA,0,NA,22.1
"5","5.6.2","2","Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education","Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education (%)",NA,22.2,NA,12.5,NA,7.1,NA,9.5,NA,0,NA,37.5,NA,25.5,NA,35.699999999999996,NA,19.2,NA,13.600000000000001,NA,8.9,NA,11.1,NA,8,NA,17.1
"5","5.a.1","2","(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Share of women among owners or rights-bearers of agricultural land, by type of tenure (%); /n Proportion of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (%)",14.799999999999999,14.799999999999999,4.2,4.2,10.7,10.7,0,0,0,0,50,50,51.1,50.5,60.699999999999996,59.8,30.8,30.8,9.1,9.1,0,0,0,0,0,0,20.4,20.3
"5","5.a.2","2","Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control","Degree to which the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control (1=No evidence to 6=Highest levels of guarantees)",NA,7.3999999999999995,NA,25,NA,28.599999999999998,NA,9.5,NA,0,NA,12.5,NA,19.1,NA,21.4,NA,17.299999999999997,NA,27.3,NA,12.5,NA,0,NA,14.000000000000002,NA,18.8
"5","5.b.1","2","Proportion of individuals who own a mobile telephone, by sex","Proportion of individuals who own a mobile telephone, by sex (%)",48.1,55.60000000000001,52.1,79.2,42.9,53.6,71.39999999999999,71.39999999999999,0,0,25,25,31.900000000000002,34,28.599999999999998,32.1,40.400000000000006,44.2,52.300000000000004,56.8,53.6,78.60000000000001,22.2,44.4,57.99999999999999,84,45.300000000000004,55.800000000000004
"5","5.c.1","2","Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment","Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment (%)",NA,37,NA,16.7,NA,28.599999999999998,NA,14.299999999999999,NA,0,NA,50,NA,55.300000000000004,NA,67.9,NA,44.2,NA,36.4,NA,1.7999999999999998,NA,0,NA,2,NA,32.6
"8","8.3.1","2","Proportion of informal employment in total employment, by sector and sex","Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",48.1,48.1,79.2,79.2,75,75,28.599999999999998,28.599999999999998,0,0,75,75,66,66,57.099999999999994,57.099999999999994,61.5,61.5,68.2,68.2,64.3,64.3,55.60000000000001,55.60000000000001,66,66,63.5,63.5
"8","8.5.1","2","Average hourly earnings of employees, by sex, age, occupation and persons with disabilities","Average hourly earnings of employees by sex and occupation (local currency)",48.1,48.1,79.2,79.2,53.6,53.6,28.599999999999998,28.599999999999998,50,50,100,100,40.400000000000006,40.400000000000006,32.1,32.1,53.800000000000004,53.800000000000004,63.6,63.6,62.5,62.5,44.4,44.4,66,66,55.2,55.2
"8","8.5.2","1","Unemployment rate, by sex, age and persons with disabilities","Unemployment rate, by sex and age (%)",81.5,85.2,97.89999999999999,97.89999999999999,96.39999999999999,96.39999999999999,81,81,100,100,100,100,74.5,74.5,71.39999999999999,71.39999999999999,84.6,84.6,88.6,90.9,96.39999999999999,96.39999999999999,88.9,88.9,98,98,87.3,87.8
"8","8.7.1","2","Proportion and number of children aged 5-17 years engaged in child labour, by sex and age","Proportion of children engaged in economic activity, by sex and age  (%)",29.599999999999998,29.599999999999998,18.8,18.8,53.6,53.6,19,19,0,0,50,50,61.7,61.7,64.3,64.3,53.800000000000004,53.800000000000004,50,50,1.7999999999999998,1.7999999999999998,0,0,2,2,38.1,38.1
"8","8.8.1","2","Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status","Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees); /n Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",14.799999999999999,48.1,85.39999999999999,85.39999999999999,17.9,35.699999999999996,23.799999999999997,28.599999999999998,0,100,25,25,4.3,4.3,3.5999999999999996,3.5999999999999996,13.5,19.2,31.8,40.9,66.10000000000001,83.89999999999999,44.4,66.7,72,88,32.6,42
"8","8.8.2","2","Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status","Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation",0,44.4,0,89.60000000000001,0,89.3,0,47.599999999999994,0,50,0,50,0,70.19999999999999,0,53.6,0,69.19999999999999,0,79.5,0,73.2,0,55.60000000000001,0,76,0,70.7
"10","10.2.1","2","Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities","Proportion of people living below 50 percent of median income (%)",0,40.699999999999996,0,91.7,0,53.6,0,38.1,0,100,0,62.5,0,68.10000000000001,0,57.099999999999994,0,63.5,0,65.9,0,69.6,0,33.300000000000004,0,76,0,64.60000000000001
"11","11.7.2","2","Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","16.1.1","2","Number of victims of intentional homicide per 100,000 population, by sex and age","Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44.4,59.3,97.89999999999999,97.89999999999999,100,100,66.7,71.39999999999999,100,100,62.5,100,25.5,42.6,10.7,25,53.800000000000004,69.19999999999999,81.8,88.6,92.9,94.6,66.7,66.7,98,100,66.3,75.1
"16","16.1.3","2","Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months","Proportion of population subjected to physical violence in the previous 12 months, by sex (%); /n Proportion of population subjected to robbery in the previous 12 months, by sex (%); /n Proportion of population subjected to sexual violence in the previous 12 months, by sex (%)",18.5,22.2,25,31.2,39.300000000000004,50,9.5,14.299999999999999,50,100,0,0,6.4,8.5,3.5999999999999996,7.1,7.7,13.5,25,27.3,32.1,41.099999999999994,11.1,11.1,36,46,18.8,24.3
"16","16.2.2","2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Detected victims of human trafficking, by age and sex (number)",32.1,47.699999999999996,84.7,87.8,51.2,64.8,54,56.8,83.3,95.8,50,73.6,36.199999999999996,55.2,29.799999999999997,46,48.1,62.4,66.7,76,62.5,70.39999999999999,14.799999999999999,27.400000000000002,70,76.9,54,65.7
"16","16.2.3","2","Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18","Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",18.5,18.5,6.2,6.2,28.599999999999998,28.599999999999998,4.8,4.8,0,0,62.5,62.5,42.6,42.6,46.400000000000006,46.400000000000006,36.5,36.5,15.9,15.9,5.4,5.4,0,0,6,6,23.200000000000003,23.200000000000003
"16","16.7.1","2","Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber; /n Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
NA,"11.2.1",NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"11.7.1",NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"16.1.2",NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"16.7.2",NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
