"iso3c","date","country","region","income_level","goal","ind_quality"
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Combined",0.05
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 1",0.111
"ABW",2020,"Aruba","Latin America & Caribbean","High income","Tier 2",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","1",0.5
"ABW",2020,"Aruba","Latin America & Caribbean","High income","3",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","4",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","5",0
"ABW",2020,"Aruba","Latin America & Caribbean","High income","8",0
"AFG",2020,"Afghanistan","South Asia","Low income","Combined",0.15
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 1",0.222
"AFG",2020,"Afghanistan","South Asia","Low income","Tier 2",0.091
"AFG",2020,"Afghanistan","South Asia","Low income","1",1
"AFG",2020,"Afghanistan","South Asia","Low income","3",0
"AFG",2020,"Afghanistan","South Asia","Low income","4",0
"AFG",2020,"Afghanistan","South Asia","Low income","5",0.1
"AFG",2020,"Afghanistan","South Asia","Low income","8",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Combined",0.1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 1",0.222
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","Tier 2",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","1",0.5
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","3",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","4",0
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","5",0.1
"AGO",2020,"Angola","Sub-Saharan Africa","Lower middle income","8",0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Combined",0.1
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 1",0.111
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","Tier 2",0.091
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","1",0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","3",0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","4",0
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","5",0.2
"ALB",2020,"Albania","Europe & Central Asia","Upper middle income","8",0
"AND",2020,"Andorra","Europe & Central Asia","High income","Combined",0.05
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 1",0.111
"AND",2020,"Andorra","Europe & Central Asia","High income","Tier 2",0
"AND",2020,"Andorra","Europe & Central Asia","High income","1",0
"AND",2020,"Andorra","Europe & Central Asia","High income","3",0
"AND",2020,"Andorra","Europe & Central Asia","High income","4",0
"AND",2020,"Andorra","Europe & Central Asia","High income","5",0.1
"AND",2020,"Andorra","Europe & Central Asia","High income","8",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Combined",0.15
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 1",0.222
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","Tier 2",0.091
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","1",0.5
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","3",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","4",0
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","5",0.2
"ARE",2020,"United Arab Emirates","Middle East & North Africa","High income","8",0
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Combined",0.15
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 1",0.222
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","Tier 2",0.091
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","1",0.5
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","3",0
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","4",0
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","5",0.2
"ARG",2020,"Argentina","Latin America & Caribbean","Upper middle income","8",0
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Combined",0.15
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 1",0.222
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","Tier 2",0.091
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","1",0.5
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","3",0
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","4",0
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","5",0.2
"ARM",2020,"Armenia","Europe & Central Asia","Upper middle income","8",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Combined",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 1",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","Tier 2",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","1",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","3",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","4",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","5",0
"ASM",2020,"American Samoa","East Asia & Pacific","Upper middle income","8",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Combined",0.05
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 1",0.111
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","Tier 2",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","1",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","3",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","4",0
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","5",0.1
"ATG",2020,"Antigua and Barbuda","Latin America & Caribbean","High income","8",0
"AUS",2020,"Australia","East Asia & Pacific","High income","Combined",0.15
"AUS",2020,"Australia","East Asia & Pacific","High income","Tier 1",0.222
"AUS",2020,"Australia","East Asia & Pacific","High income","Tier 2",0.091
"AUS",2020,"Australia","East Asia & Pacific","High income","1",0.5
"AUS",2020,"Australia","East Asia & Pacific","High income","3",0
"AUS",2020,"Australia","East Asia & Pacific","High income","4",0
"AUS",2020,"Australia","East Asia & Pacific","High income","5",0.2
"AUS",2020,"Australia","East Asia & Pacific","High income","8",0
"AUT",2020,"Austria","Europe & Central Asia","High income","Combined",0.15
"AUT",2020,"Austria","Europe & Central Asia","High income","Tier 1",0.222
"AUT",2020,"Austria","Europe & Central Asia","High income","Tier 2",0.091
"AUT",2020,"Austria","Europe & Central Asia","High income","1",0.5
"AUT",2020,"Austria","Europe & Central Asia","High income","3",0
"AUT",2020,"Austria","Europe & Central Asia","High income","4",0
"AUT",2020,"Austria","Europe & Central Asia","High income","5",0.2
"AUT",2020,"Austria","Europe & Central Asia","High income","8",0
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Combined",0.15
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Tier 1",0.222
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","Tier 2",0.091
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","1",0.5
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","3",0
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","4",0
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","5",0.2
"AZE",2020,"Azerbaijan","Europe & Central Asia","Upper middle income","8",0
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Combined",0.05
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Tier 1",0.111
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","Tier 2",0
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","1",0
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","3",0
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","4",0
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","5",0.1
"BDI",2020,"Burundi","Sub-Saharan Africa","Low income","8",0
"BEL",2020,"Belgium","Europe & Central Asia","High income","Combined",0.1
"BEL",2020,"Belgium","Europe & Central Asia","High income","Tier 1",0.222
"BEL",2020,"Belgium","Europe & Central Asia","High income","Tier 2",0
"BEL",2020,"Belgium","Europe & Central Asia","High income","1",0.5
"BEL",2020,"Belgium","Europe & Central Asia","High income","3",0
"BEL",2020,"Belgium","Europe & Central Asia","High income","4",0
"BEL",2020,"Belgium","Europe & Central Asia","High income","5",0.1
"BEL",2020,"Belgium","Europe & Central Asia","High income","8",0
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Combined",0.1
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Tier 1",0.222
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","Tier 2",0
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","1",0.5
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","3",0
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","4",0
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","5",0.1
"BEN",2020,"Benin","Sub-Saharan Africa","Lower middle income","8",0
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Combined",0.15
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Tier 1",0.333
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","Tier 2",0
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","1",0.5
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","3",0.333
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","4",0
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","5",0.1
"BFA",2020,"Burkina Faso","Sub-Saharan Africa","Low income","8",0
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Combined",0.1
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Tier 1",0.111
"BGD",2020,"Bangladesh","South Asia","Lower middle income","Tier 2",0.091
"BGD",2020,"Bangladesh","South Asia","Lower middle income","1",0
"BGD",2020,"Bangladesh","South Asia","Lower middle income","3",0
"BGD",2020,"Bangladesh","South Asia","Lower middle income","4",0
"BGD",2020,"Bangladesh","South Asia","Lower middle income","5",0.2
"BGD",2020,"Bangladesh","South Asia","Lower middle income","8",0
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Combined",0.2
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Tier 1",0.222
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","Tier 2",0.182
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","1",1
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","3",0
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","4",0
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","5",0.2
"BGR",2020,"Bulgaria","Europe & Central Asia","Upper middle income","8",0
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Combined",0.1
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Tier 1",0.222
"BHR",2020,"Bahrain","Middle East & North Africa","High income","Tier 2",0
"BHR",2020,"Bahrain","Middle East & North Africa","High income","1",0.5
"BHR",2020,"Bahrain","Middle East & North Africa","High income","3",0
"BHR",2020,"Bahrain","Middle East & North Africa","High income","4",0
"BHR",2020,"Bahrain","Middle East & North Africa","High income","5",0.1
"BHR",2020,"Bahrain","Middle East & North Africa","High income","8",0
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Combined",0.1
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Tier 1",0.222
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","Tier 2",0
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","1",0.5
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","3",0
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","4",0
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","5",0.1
"BHS",2020,"Bahamas, The","Latin America & Caribbean","High income","8",0
"BIH",2020,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","Combined",0.15
