Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2016","18","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2016","56","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","<18Y","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2016","52","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2016","61","2016","","","","","National Statistics and Information Authority (NSIA)","","Data source:  Afghanistan Living Conditions Survey (ALCS) 2016–17; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Overall number of indicators: 18; Official publication: Afghanistan Multidimensional Poverty Index 2016-2017","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2020","49","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2020","54","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","<18Y","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2020","22","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","URBAN","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","4","Afghanistan","2020","57","2020","","","","","National Statistics and Information Authority (NSIA)","","Data source: Income & Expenditure and labour force surveys 2020; Topics included: Education, Health, Infrastructure services, dwelling characteristics, employment, shocks; Official publication: Income and Expenditure & Labor Force Survey 2019-2020","ALLAGE","RURAL","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","8","Albania","2017","55","2017","","","","","EUROSTAT","","Data source: EUROPEAN UNION STATISTICS ON INCOME AND LIVING CONDITIONS; Topics included: Income, material deprivation and work intensity; Overall number of indicators: 3; Official publication: https://ec.europa.eu/eurostat/databrowser/view/ilc_peps01/default/table?lang=en

https://ec.europa.eu/eurostat/documents/3217494/9940483/KS-02-19-165-EN-N.pdf; Methodological documentation: https://ec.europa.eu/eurostat/statistics-explained/index.php/EU_statistics_on_income_and_living_conditions_(EU-SILC)_methodology_-_Europe_2020_target_on_poverty_and_social_exclusion","<16Y","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","8","Albania","2017","52","2017","","","","","EUROSTAT","","Data source: EUROPEAN UNION STATISTICS ON INCOME AND LIVING CONDITIONS; Topics included: Income, material deprivation and work intensity; Overall number of indicators: 3; Official publication: https://ec.europa.eu/eurostat/databrowser/view/ilc_peps01/default/table?lang=en

https://ec.europa.eu/eurostat/documents/3217494/9940483/KS-02-19-165-EN-N.pdf; Methodological documentation: https://ec.europa.eu/eurostat/statistics-explained/index.php/EU_statistics_on_income_and_living_conditions_(EU-SILC)_methodology_-_Europe_2020_target_on_poverty_and_social_exclusion","ALLAGE","ALLAREA","C","A","G","BOTHSEX","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","8","Albania","2017","52","2017","","","","","EUROSTAT","","Data source: EUROPEAN UNION STATISTICS ON INCOME AND LIVING CONDITIONS; Topics included: Income, material deprivation and work intensity; Overall number of indicators: 3; Official publication: https://ec.europa.eu/eurostat/databrowser/view/ilc_peps01/default/table?lang=en

https://ec.europa.eu/eurostat/documents/3217494/9940483/KS-02-19-165-EN-N.pdf; Methodological documentation: https://ec.europa.eu/eurostat/statistics-explained/index.php/EU_statistics_on_income_and_living_conditions_(EU-SILC)_methodology_-_Europe_2020_target_on_poverty_and_social_exclusion","ALLAGE","ALLAREA","C","A","G","FEMALE","PERCENT"
"1","1.2","1.2.2","SD_MDP_MUHC","Proportion of population living in multidimensional poverty (%)","8","Albania","2017","51","2017","","","","","EUROSTAT","","Data source: EUROPEAN UNION STATISTICS ON INCOME AND LIVING CONDITIONS; Topics included: Income, material deprivation and work intensity; Overall number of indicators: 3; Official publication: https://ec.europa.eu/eurostat/databrowser/view/ilc_peps01/default/table?lang=en

https://ec.europa.eu/eurostat/documents/3217494/9940483/KS-02-19-165-EN-N.pdf; Methodological documentation: https://ec.europa.eu/eurostat/statistics-explained/index.php/EU_statistics_on_income_and_living_conditions_(EU-SILC)_methodology_-_Europe_2020_target_on_poverty_and_social_exclusion","ALLAGE","ALLAREA","C","A","G","MALE","PERCENT"
