Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Reporting Type],[Sex],[Units]
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","1","World","2002","9.328","2002","","","","","DHS, MICS and other national surveys","","Based on 99 countries with a population coverage 77 per cent of the global population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","1","World","2007","8.193","2007","","","","","DHS, MICS and other national surveys","","Based on 99 countries with a population coverage 77 per cent of the global population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","1","World","2012","7.509","2012","","","","","DHS, MICS and other national surveys","","Based on 99 countries with a population coverage 77 per cent of the global population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","1","World","2017","5.522","2017","","","","","DHS, MICS and other national surveys","","Based on 99 countries with a population coverage 77 per cent of the global population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","1","World","2022","4.24","2022","","","","","DHS, MICS and other national surveys","","Based on 99 countries with a population coverage 77 per cent of the global population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","4","Afghanistan","2017","4.201","2016-17","","","","","LCS 2016-17",""," ","20-24","C","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","8","Albania","2018","1.387","2017-18","","","","","DHS 2017-18",""," ","20-24","C","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","12","Algeria","2019","0","2018-19","","","","","MICS 2018-19",""," ","20-24","C","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","24","Angola","2016","7.902","2015-16","","","","","DHS 2015-16",""," ","20-24","C","G","FEMALE","PER_MARW_20T24Y"
"5","5.3","5.3.1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","30","Eastern Asia","2002","0.211","2002","","","","","DHS, MICS and other national surveys","","Based on 3 countries with a population coverage 90 per cent of the regional population of women aged 20-24 years","20-24","N","G","FEMALE","PER_MARW_20T24Y"
